Dataset,input_complex,input_f1,input_f1v,input_f2,input_f3,input_f4,input_l1,input_l2,input_l3,input_n1,input_n2,input_n3,input_n4,input_t1,input_lsc,input_density,input_clsCoef,input_hubs,input_t2,input_t3,input_t4,input_c1,input_c2
D352,0.458,0.727,0.346,0.06,0.982,0.903,0.168,0.217,0.169,0.109,0.452,0.209,0.143,0.973,0.995,0.996,0.833,0.96,0.015,0.012,0.8,0.001,0.002
D353,0.163,0.021,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.0,0.006,0.502,0.939,0.512,0.848,0.007,0.004,0.6,0.0,0.001
D354,0.243,0.03,0.015,0.082,0.541,0.433,0.018,0.006,0.006,0.008,0.284,0.013,0.005,0.084,0.897,0.942,0.511,0.856,0.007,0.004,0.6,0.0,0.0
D355,0.338,0.127,0.066,0.2,0.942,0.895,0.173,0.051,0.066,0.049,0.376,0.098,0.05,0.454,0.985,0.939,0.502,0.849,0.007,0.004,0.6,0.0,0.001
D356,0.385,0.226,0.127,0.307,0.981,0.944,0.284,0.095,0.093,0.097,0.407,0.19,0.093,0.647,0.993,0.959,0.538,0.874,0.007,0.004,0.6,0.001,0.002
D357,0.169,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.134,0.0,0.0,0.002,0.661,0.962,0.505,0.902,0.007,0.004,0.5,0.0,0.0
D358,0.253,0.031,0.016,0.154,0.705,0.625,0.025,0.005,0.006,0.005,0.215,0.007,0.004,0.06,0.848,0.956,0.491,0.896,0.007,0.004,0.5,0.0,0.0
D359,0.335,0.111,0.059,0.326,0.964,0.901,0.214,0.042,0.045,0.035,0.364,0.078,0.037,0.349,0.983,0.962,0.495,0.902,0.007,0.004,0.5,0.0,0.001
D36,0.401,0.453,0.271,0.085,0.887,0.809,0.141,0.173,0.122,0.115,0.411,0.233,0.104,0.722,0.977,0.963,0.611,0.884,0.03,0.024,0.8,0.004,0.011
D360,0.386,0.24,0.135,0.371,0.974,0.928,0.36,0.101,0.101,0.085,0.4,0.175,0.105,0.612,0.992,0.97,0.521,0.913,0.007,0.004,0.5,0.001,0.002
D361,0.175,0.042,0.019,0.001,0.002,0.0,0.0,0.0,0.0,0.001,0.207,0.001,0.0,0.02,0.668,0.935,0.494,0.856,0.007,0.004,0.6,0.0,0.0
D362,0.248,0.049,0.022,0.079,0.711,0.49,0.014,0.004,0.004,0.005,0.243,0.009,0.004,0.049,0.827,0.945,0.524,0.869,0.007,0.004,0.6,0.0,0.0
D363,0.334,0.122,0.062,0.187,0.978,0.924,0.141,0.041,0.044,0.037,0.361,0.072,0.034,0.357,0.981,0.958,0.553,0.881,0.007,0.004,0.6,0.0,0.001
D364,0.387,0.259,0.144,0.26,0.984,0.945,0.301,0.101,0.084,0.094,0.407,0.179,0.104,0.668,0.994,0.956,0.532,0.882,0.007,0.004,0.6,0.0,0.001
D365,0.229,0.537,0.071,0.028,0.631,0.043,0.014,0.03,0.008,0.001,0.17,0.0,0.025,0.024,0.787,0.94,0.428,0.89,0.007,0.003,0.4,0.0,0.001
D366,0.257,0.514,0.076,0.079,0.735,0.49,0.018,0.033,0.016,0.004,0.179,0.007,0.02,0.048,0.824,0.925,0.386,0.883,0.007,0.003,0.4,0.001,0.002
D367,0.337,0.571,0.119,0.193,0.969,0.896,0.095,0.07,0.04,0.039,0.358,0.076,0.064,0.335,0.984,0.926,0.381,0.879,0.007,0.003,0.4,0.0,0.0
D368,0.384,0.669,0.212,0.257,0.985,0.948,0.192,0.131,0.125,0.078,0.395,0.16,0.1,0.561,0.991,0.938,0.396,0.892,0.007,0.003,0.4,0.0,0.001
D369,0.197,0.02,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265,0.0,0.0,0.031,0.517,0.991,0.776,0.941,0.015,0.011,0.75,0.0,0.0
D37,0.336,0.285,0.152,0.023,0.66,0.251,0.056,0.11,0.081,0.087,0.399,0.164,0.087,0.654,0.965,0.979,0.668,0.926,0.03,0.024,0.8,0.001,0.001
D370,0.311,0.034,0.017,0.065,0.821,0.748,0.024,0.007,0.007,0.006,0.367,0.012,0.002,0.362,0.879,0.991,0.771,0.95,0.015,0.011,0.75,0.0,0.0
D371,0.381,0.132,0.069,0.048,0.96,0.892,0.185,0.053,0.042,0.051,0.431,0.1,0.057,0.896,0.984,0.992,0.781,0.941,0.015,0.011,0.75,0.0,0.001
D372,0.418,0.248,0.138,0.077,0.992,0.908,0.289,0.104,0.102,0.086,0.45,0.168,0.101,0.981,0.993,0.994,0.831,0.956,0.015,0.011,0.75,0.001,0.001
D373,0.2,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.239,0.0,0.0,0.006,0.675,0.996,0.815,0.964,0.015,0.01,0.65,0.0,0.001
D374,0.295,0.035,0.018,0.062,0.799,0.637,0.03,0.007,0.007,0.005,0.331,0.011,0.01,0.274,0.869,0.993,0.766,0.962,0.015,0.01,0.65,0.0,0.0
D375,0.386,0.117,0.062,0.091,0.979,0.898,0.214,0.047,0.043,0.045,0.428,0.087,0.044,0.937,0.986,0.996,0.828,0.97,0.015,0.01,0.7,0.0,0.0
D376,0.424,0.248,0.14,0.12,0.994,0.937,0.358,0.102,0.092,0.097,0.449,0.189,0.125,0.975,0.994,0.996,0.826,0.97,0.015,0.01,0.7,0.0,0.0
D377,0.21,0.042,0.019,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.313,0.001,0.0,0.093,0.672,0.99,0.768,0.938,0.015,0.011,0.75,0.0,0.0
D378,0.323,0.055,0.025,0.044,0.958,0.81,0.022,0.005,0.005,0.006,0.364,0.011,0.003,0.385,0.924,0.991,0.778,0.942,0.015,0.011,0.75,0.0,0.0
D379,0.387,0.15,0.076,0.072,0.943,0.839,0.168,0.051,0.046,0.053,0.43,0.106,0.055,0.919,0.988,0.996,0.885,0.952,0.015,0.011,0.75,0.0,0.0
D38,0.33,0.278,0.146,0.021,0.666,0.364,0.047,0.101,0.06,0.076,0.397,0.128,0.048,0.606,0.968,0.977,0.615,0.901,0.03,0.024,0.8,0.001,0.004
D380,0.417,0.264,0.145,0.067,0.984,0.916,0.276,0.1,0.113,0.104,0.45,0.199,0.09,0.976,0.994,0.992,0.782,0.952,0.015,0.011,0.75,0.0,0.001
D381,0.264,0.525,0.069,0.005,0.628,0.0,0.011,0.025,0.015,0.001,0.282,0.001,0.009,0.12,0.8,0.99,0.705,0.958,0.015,0.01,0.65,0.0,0.0
D382,0.296,0.56,0.075,0.013,0.742,0.396,0.014,0.031,0.011,0.004,0.297,0.006,0.02,0.186,0.863,0.987,0.683,0.953,0.015,0.01,0.65,0.0,0.001
D383,0.386,0.635,0.125,0.037,0.948,0.828,0.092,0.073,0.056,0.04,0.418,0.081,0.049,0.837,0.982,0.987,0.689,0.943,0.015,0.01,0.65,0.0,0.0
D384,0.424,0.663,0.191,0.082,0.982,0.903,0.172,0.116,0.119,0.089,0.444,0.171,0.125,0.95,0.993,0.99,0.721,0.947,0.015,0.01,0.65,0.001,0.002
D385,0.405,0.43,0.256,0.045,0.857,0.648,0.083,0.197,0.173,0.146,0.434,0.287,0.125,0.842,0.985,0.977,0.688,0.881,0.03,0.024,0.8,0.0,0.0
D386,0.407,0.446,0.261,0.093,0.86,0.693,0.085,0.203,0.146,0.14,0.434,0.287,0.119,0.803,0.983,0.978,0.686,0.888,0.03,0.024,0.8,0.001,0.001
D387,0.43,0.51,0.317,0.15,0.884,0.797,0.101,0.224,0.158,0.161,0.44,0.337,0.2,0.83,0.986,0.972,0.645,0.903,0.03,0.024,0.8,0.0,0.0
D388,0.447,0.547,0.353,0.085,0.931,0.794,0.12,0.242,0.209,0.191,0.451,0.406,0.206,0.881,0.99,0.98,0.693,0.905,0.03,0.024,0.8,0.0,0.001
D389,0.429,0.539,0.348,0.175,0.89,0.755,0.107,0.218,0.17,0.145,0.439,0.293,0.155,0.845,0.984,0.974,0.653,0.889,0.03,0.024,0.8,0.0,0.001
D39,0.392,0.394,0.227,0.051,0.86,0.693,0.102,0.149,0.116,0.116,0.416,0.215,0.099,0.773,0.981,0.98,0.664,0.924,0.03,0.024,0.8,0.0,0.0
D390,0.418,0.543,0.342,0.102,0.785,0.636,0.101,0.221,0.2,0.172,0.444,0.328,0.161,0.839,0.986,0.971,0.627,0.887,0.03,0.024,0.8,0.001,0.002
D391,0.462,0.656,0.466,0.094,0.946,0.806,0.131,0.263,0.23,0.196,0.449,0.406,0.203,0.881,0.989,0.985,0.699,0.921,0.03,0.024,0.8,0.0,0.0
D392,0.455,0.603,0.413,0.144,0.967,0.845,0.129,0.254,0.251,0.178,0.445,0.361,0.158,0.884,0.99,0.978,0.659,0.887,0.03,0.024,0.8,0.003,0.009
D393,0.357,0.675,0.201,0.028,0.875,0.358,0.067,0.152,0.125,0.075,0.387,0.131,0.093,0.576,0.964,0.956,0.568,0.881,0.03,0.021,0.7,0.0,0.001
D394,0.388,0.671,0.251,0.044,0.857,0.448,0.094,0.188,0.14,0.093,0.391,0.17,0.113,0.693,0.971,0.987,0.736,0.929,0.03,0.021,0.7,0.001,0.004
D395,0.398,0.758,0.264,0.037,0.937,0.678,0.1,0.164,0.104,0.107,0.398,0.215,0.101,0.63,0.975,0.974,0.647,0.911,0.03,0.021,0.7,0.002,0.006
D396,0.432,0.785,0.376,0.051,0.94,0.713,0.165,0.245,0.215,0.13,0.417,0.23,0.143,0.821,0.984,0.977,0.659,0.907,0.03,0.021,0.7,0.0,0.0
D397,0.414,0.639,0.385,0.035,0.854,0.699,0.16,0.257,0.239,0.103,0.411,0.2,0.128,0.764,0.979,0.975,0.626,0.912,0.03,0.021,0.7,0.001,0.001
D398,0.432,0.689,0.427,0.094,0.884,0.731,0.179,0.272,0.209,0.113,0.414,0.206,0.137,0.773,0.978,0.975,0.659,0.901,0.03,0.024,0.8,0.0,0.0
D399,0.445,0.681,0.405,0.082,0.97,0.845,0.156,0.263,0.194,0.148,0.426,0.281,0.161,0.797,0.984,0.976,0.664,0.915,0.03,0.024,0.8,0.0,0.0
D4,0.457,0.719,0.506,0.076,0.884,0.752,0.187,0.299,0.331,0.152,0.434,0.29,0.206,0.842,0.985,0.973,0.655,0.896,0.03,0.024,0.8,0.004,0.011
D40,0.414,0.424,0.242,0.079,0.97,0.8,0.108,0.17,0.146,0.134,0.422,0.245,0.128,0.806,0.984,0.979,0.677,0.927,0.03,0.024,0.8,0.001,0.003
D400,0.461,0.721,0.446,0.136,0.94,0.839,0.161,0.29,0.26,0.17,0.436,0.313,0.182,0.842,0.988,0.98,0.674,0.916,0.03,0.024,0.8,0.0,0.0
D401,0.429,0.445,0.24,0.01,0.836,0.543,0.079,0.158,0.099,0.182,0.473,0.379,0.134,0.994,0.991,0.997,0.962,0.961,0.06,0.051,0.85,0.001,0.001
D402,0.426,0.409,0.22,0.019,0.824,0.549,0.065,0.155,0.107,0.176,0.471,0.361,0.152,0.997,0.989,0.996,0.943,0.967,0.06,0.051,0.85,0.001,0.002
D403,0.451,0.508,0.293,0.022,0.904,0.615,0.096,0.212,0.149,0.212,0.475,0.391,0.173,1.0,0.992,0.997,0.96,0.966,0.06,0.051,0.85,0.0,0.0
D404,0.483,0.611,0.401,0.034,0.931,0.713,0.138,0.278,0.239,0.231,0.479,0.448,0.245,0.994,0.994,0.996,0.961,0.965,0.06,0.051,0.85,0.002,0.006
D405,0.45,0.521,0.31,0.018,0.872,0.585,0.092,0.224,0.191,0.188,0.474,0.385,0.248,1.0,0.991,0.993,0.913,0.93,0.06,0.051,0.85,0.0,0.0
D406,0.453,0.559,0.333,0.019,0.887,0.636,0.095,0.23,0.176,0.191,0.474,0.361,0.173,1.0,0.992,0.994,0.93,0.949,0.06,0.051,0.85,0.0,0.0
D407,0.471,0.667,0.368,0.012,0.97,0.704,0.115,0.245,0.203,0.191,0.476,0.397,0.242,1.0,0.992,0.992,0.875,0.944,0.06,0.051,0.85,0.0,0.0
D408,0.477,0.691,0.401,0.017,0.97,0.701,0.127,0.26,0.176,0.215,0.478,0.424,0.224,1.0,0.992,0.995,0.917,0.949,0.06,0.051,0.85,0.0,0.001
D409,0.413,0.726,0.237,0.006,0.901,0.319,0.089,0.17,0.119,0.121,0.458,0.245,0.063,0.97,0.983,0.99,0.834,0.941,0.06,0.048,0.8,0.0,0.0
D41,0.361,0.351,0.196,0.031,0.8,0.546,0.084,0.155,0.099,0.084,0.392,0.143,0.042,0.618,0.965,0.98,0.684,0.91,0.03,0.024,0.8,0.0,0.001
D410,0.42,0.694,0.228,0.005,0.863,0.361,0.082,0.152,0.119,0.116,0.457,0.218,0.107,0.988,0.985,0.999,0.994,0.971,0.06,0.048,0.8,0.0,0.0
D411,0.442,0.715,0.279,0.01,0.916,0.519,0.12,0.188,0.14,0.137,0.461,0.281,0.116,0.991,0.987,0.999,0.971,0.978,0.06,0.048,0.8,0.0,0.0
D412,0.47,0.767,0.367,0.018,0.94,0.707,0.164,0.257,0.221,0.136,0.463,0.269,0.143,0.988,0.988,0.999,1.0,0.992,0.06,0.048,0.8,0.001,0.004
D413,0.437,0.624,0.327,0.014,0.872,0.57,0.136,0.254,0.176,0.131,0.461,0.266,0.101,0.991,0.985,0.989,0.813,0.949,0.06,0.051,0.85,0.0,0.001
D414,0.45,0.648,0.368,0.015,0.869,0.612,0.157,0.275,0.212,0.142,0.46,0.275,0.152,0.97,0.983,0.989,0.843,0.958,0.06,0.051,0.85,0.001,0.003
D415,0.46,0.687,0.378,0.021,0.896,0.612,0.145,0.254,0.212,0.149,0.465,0.301,0.17,0.991,0.988,0.996,0.931,0.968,0.06,0.051,0.85,0.0,0.0
D416,0.479,0.735,0.465,0.036,0.949,0.693,0.187,0.278,0.263,0.148,0.467,0.304,0.185,0.994,0.989,0.996,0.932,0.961,0.06,0.051,0.85,0.0,0.0
D417,0.27,0.159,0.079,0.01,0.319,0.116,0.014,0.039,0.03,0.052,0.368,0.107,0.024,0.442,0.924,0.962,0.595,0.853,0.03,0.024,0.8,0.0,0.0
D418,0.282,0.165,0.081,0.018,0.397,0.236,0.014,0.045,0.015,0.054,0.371,0.113,0.021,0.478,0.937,0.962,0.581,0.853,0.03,0.024,0.8,0.001,0.001
D419,0.337,0.23,0.123,0.073,0.737,0.567,0.049,0.075,0.045,0.072,0.393,0.167,0.045,0.603,0.958,0.963,0.586,0.881,0.03,0.024,0.8,0.0,0.0
D42,0.381,0.435,0.262,0.029,0.812,0.558,0.117,0.215,0.191,0.079,0.4,0.149,0.078,0.654,0.973,0.98,0.685,0.911,0.03,0.024,0.8,0.0,0.0
D420,0.379,0.304,0.17,0.095,0.901,0.693,0.1,0.09,0.081,0.124,0.421,0.254,0.093,0.755,0.982,0.962,0.603,0.865,0.03,0.024,0.8,0.0,0.001
D421,0.333,0.23,0.126,0.106,0.564,0.454,0.03,0.096,0.033,0.085,0.4,0.161,0.045,0.666,0.957,0.978,0.65,0.883,0.03,0.024,0.8,0.0,0.001
D422,0.34,0.24,0.13,0.097,0.651,0.534,0.031,0.096,0.051,0.101,0.405,0.2,0.066,0.654,0.966,0.962,0.55,0.882,0.03,0.024,0.8,0.001,0.002
D423,0.406,0.339,0.199,0.124,0.946,0.827,0.078,0.149,0.113,0.128,0.422,0.275,0.125,0.773,0.979,0.987,0.699,0.913,0.03,0.024,0.8,0.0,0.0
D424,0.407,0.365,0.217,0.17,0.952,0.86,0.105,0.152,0.122,0.122,0.423,0.272,0.119,0.812,0.983,0.969,0.587,0.865,0.03,0.024,0.8,0.003,0.009
D425,0.279,0.392,0.06,0.016,0.83,0.096,0.003,0.012,0.0,0.019,0.325,0.039,0.003,0.275,0.89,0.96,0.583,0.887,0.03,0.021,0.7,0.0,0.001
D426,0.297,0.375,0.074,0.014,0.755,0.248,0.006,0.033,0.003,0.033,0.332,0.06,0.009,0.313,0.897,0.985,0.71,0.924,0.03,0.021,0.7,0.001,0.004
D427,0.344,0.475,0.11,0.031,0.896,0.582,0.062,0.066,0.042,0.067,0.357,0.137,0.042,0.421,0.954,0.977,0.676,0.917,0.03,0.021,0.7,0.002,0.006
D428,0.391,0.553,0.204,0.034,0.89,0.707,0.161,0.143,0.104,0.107,0.4,0.194,0.137,0.66,0.978,0.981,0.675,0.918,0.03,0.021,0.7,0.0,0.0
D429,0.31,0.357,0.133,0.008,0.633,0.352,0.038,0.09,0.063,0.024,0.349,0.051,0.048,0.499,0.931,0.973,0.611,0.902,0.03,0.021,0.7,0.001,0.001
D43,0.425,0.534,0.33,0.086,0.964,0.773,0.153,0.197,0.161,0.128,0.424,0.257,0.116,0.785,0.981,0.982,0.713,0.9,0.03,0.024,0.8,0.001,0.001
D430,0.326,0.392,0.15,0.04,0.707,0.481,0.056,0.107,0.051,0.037,0.351,0.072,0.039,0.507,0.926,0.974,0.637,0.895,0.03,0.021,0.7,0.0,0.0
D431,0.364,0.386,0.178,0.061,0.922,0.612,0.084,0.122,0.072,0.081,0.382,0.155,0.101,0.585,0.967,0.977,0.655,0.913,0.03,0.021,0.7,0.0,0.0
D432,0.402,0.511,0.241,0.121,0.916,0.812,0.114,0.158,0.14,0.121,0.402,0.254,0.101,0.672,0.977,0.976,0.66,0.912,0.03,0.021,0.7,0.0,0.0
D433,0.319,0.162,0.075,0.002,0.301,0.012,0.01,0.033,0.012,0.078,0.445,0.143,0.018,0.925,0.969,0.995,0.922,0.957,0.06,0.051,0.85,0.001,0.001
D434,0.321,0.155,0.073,0.003,0.358,0.0,0.009,0.027,0.018,0.075,0.442,0.146,0.039,0.94,0.963,0.995,0.905,0.954,0.06,0.051,0.85,0.001,0.002
D435,0.388,0.256,0.131,0.014,0.824,0.546,0.068,0.09,0.054,0.094,0.455,0.173,0.027,0.997,0.982,0.995,0.908,0.962,0.06,0.051,0.85,0.0,0.0
D436,0.44,0.412,0.242,0.03,0.931,0.716,0.143,0.17,0.125,0.155,0.467,0.313,0.128,0.994,0.989,0.995,0.936,0.965,0.06,0.051,0.85,0.002,0.006
D437,0.359,0.224,0.117,0.011,0.513,0.269,0.02,0.066,0.03,0.124,0.458,0.245,0.087,0.991,0.982,0.992,0.872,0.934,0.06,0.051,0.85,0.0,0.0
D438,0.367,0.248,0.127,0.013,0.576,0.29,0.028,0.084,0.042,0.118,0.459,0.23,0.057,0.994,0.983,0.993,0.907,0.955,0.06,0.051,0.85,0.0,0.0
D439,0.419,0.366,0.186,0.018,0.976,0.696,0.073,0.131,0.087,0.128,0.464,0.263,0.11,0.994,0.986,0.991,0.85,0.943,0.06,0.051,0.85,0.0,0.0
D44,0.45,0.62,0.428,0.09,0.955,0.797,0.191,0.263,0.215,0.17,0.439,0.361,0.17,0.833,0.988,0.979,0.67,0.887,0.03,0.024,0.8,0.0,0.0
D440,0.449,0.455,0.248,0.023,0.976,0.704,0.11,0.188,0.122,0.182,0.469,0.367,0.164,0.997,0.989,0.997,0.953,0.961,0.06,0.051,0.85,0.0,0.001
D441,0.335,0.402,0.072,0.003,0.83,0.006,0.006,0.03,0.015,0.045,0.425,0.09,0.024,0.791,0.945,0.99,0.843,0.939,0.06,0.048,0.8,0.0,0.0
D442,0.352,0.401,0.072,0.003,0.842,0.101,0.012,0.042,0.009,0.034,0.426,0.066,0.027,0.881,0.953,0.999,0.994,0.972,0.06,0.048,0.8,0.0,0.0
D443,0.393,0.451,0.13,0.007,0.827,0.412,0.093,0.096,0.045,0.091,0.441,0.185,0.075,0.949,0.973,0.999,0.992,0.974,0.06,0.048,0.8,0.0,0.0
D444,0.427,0.535,0.199,0.017,0.881,0.651,0.155,0.164,0.122,0.112,0.45,0.209,0.101,0.925,0.982,0.999,1.0,0.987,0.06,0.048,0.8,0.001,0.004
D445,0.34,0.35,0.127,0.003,0.648,0.26,0.035,0.081,0.039,0.033,0.426,0.06,0.006,0.851,0.946,0.987,0.769,0.943,0.06,0.048,0.8,0.0,0.001
D446,0.35,0.376,0.142,0.007,0.681,0.224,0.043,0.093,0.045,0.051,0.428,0.107,0.033,0.839,0.945,0.99,0.828,0.955,0.06,0.048,0.8,0.001,0.003
D447,0.389,0.422,0.165,0.009,0.851,0.522,0.068,0.131,0.084,0.067,0.443,0.146,0.048,0.946,0.973,0.991,0.85,0.942,0.06,0.048,0.8,0.0,0.0
D448,0.423,0.495,0.267,0.04,0.896,0.654,0.15,0.185,0.107,0.099,0.453,0.218,0.11,0.994,0.982,0.989,0.832,0.928,0.06,0.048,0.8,0.0,0.0
D449,0.183,0.045,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.25,0.0,0.0,0.069,0.609,0.937,0.524,0.823,0.03,0.021,0.7,0.0,0.0
D45,0.441,0.809,0.466,0.118,0.961,0.737,0.199,0.293,0.233,0.107,0.405,0.194,0.167,0.696,0.974,0.985,0.67,0.933,0.03,0.021,0.7,0.0,0.0
D450,0.203,0.05,0.023,0.001,0.161,0.003,0.002,0.003,0.003,0.006,0.255,0.006,0.009,0.137,0.74,0.938,0.536,0.837,0.03,0.021,0.7,0.001,0.001
D451,0.292,0.114,0.058,0.11,0.737,0.349,0.075,0.036,0.045,0.036,0.356,0.081,0.033,0.397,0.932,0.94,0.545,0.836,0.03,0.021,0.7,0.0,0.0
D452,0.352,0.199,0.107,0.126,0.901,0.657,0.157,0.072,0.087,0.09,0.402,0.182,0.093,0.582,0.973,0.947,0.567,0.842,0.03,0.021,0.7,0.0,0.001
D453,0.218,0.07,0.036,0.004,0.009,0.0,0.0,0.0,0.0,0.001,0.314,0.003,0.0,0.245,0.856,0.974,0.6,0.923,0.03,0.021,0.7,0.0,0.001
D454,0.238,0.081,0.041,0.114,0.328,0.0,0.009,0.006,0.009,0.015,0.316,0.03,0.009,0.278,0.887,0.96,0.505,0.901,0.03,0.021,0.7,0.001,0.002
D455,0.348,0.17,0.092,0.183,0.946,0.821,0.082,0.045,0.042,0.046,0.367,0.099,0.057,0.49,0.96,0.977,0.612,0.914,0.03,0.021,0.7,0.0,0.0
D456,0.367,0.231,0.128,0.245,0.952,0.848,0.136,0.081,0.084,0.075,0.39,0.173,0.072,0.558,0.969,0.962,0.516,0.888,0.03,0.021,0.7,0.003,0.009
D457,0.205,0.153,0.016,0.001,0.337,0.0,0.0,0.0,0.0,0.001,0.214,0.0,0.0,0.042,0.605,0.968,0.618,0.9,0.03,0.018,0.6,0.0,0.001
D458,0.196,0.14,0.019,0.0,0.173,0.0,0.0,0.0,0.0,0.001,0.215,0.0,0.0,0.042,0.595,0.972,0.622,0.889,0.03,0.018,0.6,0.001,0.004
D459,0.307,0.228,0.057,0.024,0.839,0.493,0.082,0.036,0.024,0.049,0.331,0.099,0.039,0.296,0.932,0.979,0.681,0.92,0.03,0.018,0.6,0.002,0.006
D46,0.449,0.842,0.528,0.127,0.943,0.71,0.212,0.316,0.307,0.119,0.413,0.212,0.176,0.758,0.979,0.977,0.625,0.884,0.03,0.021,0.7,0.0,0.0
D460,0.368,0.345,0.144,0.047,0.881,0.696,0.249,0.099,0.122,0.085,0.388,0.161,0.084,0.582,0.972,0.98,0.696,0.915,0.03,0.018,0.6,0.0,0.0
D461,0.2,0.119,0.041,0.0,0.116,0.0,0.0,0.0,0.0,0.001,0.23,0.0,0.0,0.113,0.752,0.958,0.516,0.903,0.03,0.018,0.6,0.001,0.001
D462,0.225,0.138,0.048,0.007,0.496,0.0,0.005,0.009,0.0,0.004,0.234,0.006,0.0,0.131,0.785,0.966,0.557,0.914,0.03,0.018,0.6,0.0,0.0
D463,0.316,0.187,0.085,0.076,0.893,0.585,0.09,0.048,0.027,0.048,0.333,0.101,0.054,0.382,0.948,0.966,0.563,0.91,0.03,0.018,0.6,0.0,0.0
D464,0.368,0.34,0.156,0.175,0.919,0.812,0.138,0.104,0.096,0.099,0.376,0.2,0.069,0.579,0.969,0.966,0.537,0.915,0.03,0.018,0.6,0.0,0.0
D465,0.236,0.046,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.367,0.009,0.0,0.349,0.723,0.99,0.838,0.94,0.06,0.048,0.8,0.001,0.001
D466,0.252,0.049,0.022,0.001,0.203,0.0,0.0,0.0,0.0,0.006,0.368,0.009,0.0,0.466,0.743,0.99,0.836,0.943,0.06,0.048,0.8,0.001,0.002
D467,0.366,0.149,0.075,0.021,0.824,0.546,0.094,0.054,0.051,0.045,0.425,0.087,0.06,0.949,0.952,0.99,0.872,0.942,0.06,0.048,0.8,0.0,0.0
D468,0.425,0.328,0.187,0.037,0.931,0.675,0.227,0.134,0.152,0.116,0.455,0.245,0.131,0.979,0.982,0.994,0.902,0.949,0.06,0.048,0.8,0.002,0.006
D469,0.273,0.069,0.034,0.0,0.006,0.0,0.0,0.0,0.0,0.013,0.41,0.015,0.0,0.845,0.912,0.992,0.857,0.936,0.06,0.048,0.8,0.0,0.0
D47,0.449,0.812,0.494,0.129,0.949,0.827,0.2,0.293,0.242,0.134,0.413,0.269,0.149,0.743,0.976,0.976,0.628,0.897,0.03,0.021,0.7,0.001,0.001
D470,0.291,0.083,0.04,0.015,0.257,0.0,0.0,0.003,0.0,0.025,0.413,0.042,0.015,0.869,0.929,0.992,0.855,0.954,0.06,0.048,0.8,0.0,0.0
D471,0.382,0.19,0.093,0.026,0.976,0.696,0.067,0.051,0.045,0.052,0.433,0.099,0.027,0.967,0.969,0.993,0.864,0.958,0.06,0.048,0.8,0.0,0.0
D472,0.421,0.317,0.169,0.027,0.976,0.654,0.141,0.125,0.143,0.119,0.452,0.221,0.096,0.988,0.983,0.998,0.968,0.969,0.06,0.048,0.8,0.0,0.001
D473,0.237,0.145,0.019,0.0,0.34,0.0,0.0,0.0,0.0,0.001,0.339,0.003,0.0,0.137,0.661,0.988,0.796,0.934,0.06,0.045,0.75,0.0,0.0
D474,0.281,0.161,0.024,0.0,0.451,0.0,0.004,0.009,0.006,0.01,0.366,0.018,0.006,0.46,0.861,0.999,0.985,0.976,0.06,0.045,0.75,0.0,0.0
D475,0.365,0.24,0.081,0.009,0.773,0.391,0.149,0.06,0.06,0.058,0.424,0.122,0.051,0.833,0.956,0.999,0.993,0.975,0.06,0.045,0.75,0.0,0.0
D476,0.403,0.332,0.139,0.021,0.881,0.555,0.216,0.101,0.066,0.097,0.44,0.188,0.11,0.893,0.976,0.999,1.0,0.99,0.06,0.045,0.75,0.001,0.004
D477,0.251,0.128,0.042,0.0,0.304,0.0,0.0,0.0,0.0,0.001,0.339,0.0,0.0,0.445,0.779,0.982,0.706,0.934,0.06,0.045,0.75,0.0,0.001
D478,0.26,0.13,0.047,0.001,0.325,0.0,0.0,0.0,0.0,0.009,0.347,0.015,0.006,0.406,0.804,0.99,0.823,0.949,0.06,0.045,0.75,0.001,0.003
D479,0.346,0.205,0.084,0.012,0.8,0.364,0.08,0.048,0.042,0.039,0.41,0.087,0.033,0.848,0.955,0.99,0.814,0.942,0.06,0.045,0.75,0.0,0.0
D48,0.49,0.913,0.691,0.1,0.943,0.815,0.244,0.382,0.373,0.151,0.43,0.281,0.284,0.836,0.986,0.986,0.714,0.881,0.03,0.021,0.7,0.003,0.008
D480,0.391,0.321,0.174,0.047,0.842,0.561,0.179,0.107,0.069,0.088,0.436,0.197,0.11,0.913,0.975,0.989,0.8,0.941,0.06,0.045,0.75,0.0,0.0
D481,0.156,0.012,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.137,0.0,0.0,0.006,0.5,0.893,0.458,0.781,0.03,0.018,0.6,0.0,0.0
D482,0.177,0.017,0.008,0.0,0.14,0.003,0.003,0.003,0.003,0.006,0.141,0.006,0.003,0.072,0.663,0.9,0.461,0.806,0.03,0.018,0.6,0.001,0.001
D483,0.286,0.082,0.042,0.187,0.737,0.349,0.145,0.036,0.042,0.036,0.355,0.078,0.042,0.376,0.931,0.908,0.485,0.809,0.03,0.018,0.6,0.0,0.0
